segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK JFK,2024-08-10,Saturday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,20,40,50.0,30.0,38.0,78.95,Chicken
BKK JFK,2024-08-10,Saturday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",20,40,50.0,8.0,38.0,21.05,Seafood
BKK JFK,2024-08-10,Saturday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",19,39,48.72,14.0,38.0,36.84,Seafood
BKK JFK,2024-08-10,Saturday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",20,39,51.28,24.0,38.0,63.16,Beef
BKK JFK,2024-08-10,nan,S,Refreshments,Montevibbiano Pizza - Margherita,74,74,100.0,,,,nan
BKK JFK,2024-08-11,Sunday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",19,38,50.0,10.0,36.0,27.78,Seafood
BKK JFK,2024-08-11,Sunday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,19,38,50.0,26.0,36.0,72.22,Chicken
BKK JFK,2024-08-11,Sunday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",18,37,48.65,14.0,36.0,38.89,Seafood
BKK JFK,2024-08-11,Sunday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",19,37,51.35,22.0,36.0,61.11,Beef
BKK JFK,2024-08-11,nan,S,Refreshments,Montevibbiano Pizza - Margherita,70,70,100.0,,,,nan
BKK JFK,2024-08-12,Monday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",26,51,50.98,16.0,52.0,30.77,Seafood
BKK JFK,2024-08-12,Monday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,25,51,49.02,36.0,52.0,69.23,Chicken
BKK JFK,2024-08-12,Monday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",25,51,49.02,22.0,52.0,42.31,Seafood
BKK JFK,2024-08-12,Monday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",26,51,50.98,30.0,52.0,57.69,Beef
BKK JFK,2024-08-12,nan,S,Refreshments,Montevibbiano Pizza - Margherita,76,76,100.0,,,,nan
BKK JFK,2024-08-13,Tuesday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,21,42,50.0,31.0,42.0,73.81,Chicken
BKK JFK,2024-08-13,Tuesday,S,Dinner,"5C24 BKK SCL Pan Fried Seabass Provencal Sc, Fresh Broccolini carrot, Corn and Herb Pilaf",21,42,50.0,11.0,42.0,26.19,Seafood
BKK JFK,2024-08-13,Tuesday,S,Lunch,"5C24 BKK SCL Thai Crab Curry, Mixed Cargo Rice",21,42,50.0,16.0,42.0,38.1,Seafood
BKK JFK,2024-08-13,Tuesday,S,Lunch,"5C24 BKK SCL Beef Bourguignon, bacon, mushroom, carrot, haricot, potato gratin",21,42,50.0,26.0,42.0,61.9,Beef
BKK JFK,2024-08-13,nan,S,Refreshments,Montevibbiano Pizza - Margherita,76,76,100.0,,,,nan
BKK JFK,2024-08-14,Wednesday,S,Dinner,5C24 BKK SCL Soya Chicken Rice,23,47,48.94,32.0,42.0,76.19,Chicken
