segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK CDG,2025-05-03,Saturday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,100,166,60.24,119,170,70.0,Chicken
BKK CDG,2025-05-03,Saturday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",66,166,39.76,51,170,30.0,Seafood
BKK CDG,2025-05-04,Sunday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",68,171,39.77,58,176,32.95,Seafood
BKK CDG,2025-05-04,Sunday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",103,171,60.23,118,176,67.05,Chicken
BKK CDG,2025-05-04,Sunday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,103,171,60.23,122,176,69.32,Chicken
BKK CDG,2025-05-04,Sunday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",68,171,39.77,54,176,30.68,Seafood
BKK CDG,2025-05-05,Monday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",66,166,39.76,55,166,33.13,Seafood
BKK CDG,2025-05-05,Monday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",100,166,60.24,111,166,66.87,Chicken
BKK CDG,2025-05-05,Monday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",66,166,39.76,52,166,31.33,Seafood
BKK CDG,2025-05-05,Monday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,100,166,60.24,114,166,68.67,Chicken
BKK CDG,2025-05-06,Tuesday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",90,150,60.0,99,147,67.35,Chicken
BKK CDG,2025-05-06,Tuesday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",60,150,40.0,48,147,32.65,Seafood
BKK CDG,2025-05-06,Tuesday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,90,150,60.0,99,147,67.35,Chicken
BKK CDG,2025-05-06,Tuesday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",60,150,40.0,48,147,32.65,Seafood
BKK CDG,2025-05-07,Wednesday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",89,147,60.54,92,143,64.34,Chicken
BKK CDG,2025-05-07,Wednesday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",58,147,39.46,51,143,35.66,Seafood
BKK CDG,2025-05-07,Wednesday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,89,147,60.54,95,143,66.43,Chicken
BKK CDG,2025-05-07,Wednesday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",58,147,39.46,48,143,33.57,Seafood
BKK CDG,2025-05-08,Thursday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",104,173,60.12,111,169,65.68,Chicken
BKK CDG,2025-05-08,Thursday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",69,173,39.88,58,169,34.32,Seafood
BKK CDG,2025-05-08,Thursday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",69,173,39.88,55,169,32.54,Seafood
BKK CDG,2025-05-08,Thursday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,104,173,60.12,114,169,67.46,Chicken
BKK CDG,2025-05-09,Friday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",68,170,40.0,60,165,36.36,Seafood
BKK CDG,2025-05-09,Friday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",102,170,60.0,105,165,63.64,Chicken
BKK CDG,2025-05-09,Friday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,102,170,60.0,108,165,65.45,Chicken
BKK CDG,2025-05-09,Friday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",68,170,40.0,57,165,34.55,Seafood
BKK CDG,2025-05-10,Saturday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",68,172,39.53,58,169,34.32,Seafood
BKK CDG,2025-05-10,Saturday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",104,172,60.47,111,169,65.68,Chicken
BKK CDG,2025-05-10,Saturday,Y,Lunch,"5C24 BKK LRG Baked Fish, Mush Crm Sc, Herb Potato Mash, Ratatouille, Broccoli",68,172,39.53,57,169,33.73,Seafood
BKK CDG,2025-05-10,Saturday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,104,172,60.47,112,169,66.27,Chicken
BKK CDG,2025-05-11,Sunday,Y,Dinner,"5C22 BKK FFM Chicken Ragout w Mush cream sc, pumpkin & carrot",105,174,60.34,111,172,64.53,Chicken
BKK CDG,2025-05-11,Sunday,Y,Dinner,"5C19 BKK LRG Deep Fried Fish with garlic ginger sc, mix cargo rice, oriental veg",69,174,39.66,61,172,35.47,Seafood
BKK CDG,2025-05-11,Sunday,Y,Lunch,5C24 BKK FFM Soy Garlic Chicken Noodles,105,174,60.34,115,172,66.86,Chicken
